parent_company,tCO2e_2023_attributed
CPV VALLEY LLC,1589336
NATIONAL CEMENT CO INC,1578846
MGE ENERGY INC,1573127
MDU RESOURCES GROUP INC,1562303
SOUTHWEST GENERATION OPERATING CO LLC,1539551
"Tata Chemicals Soda Ash Partners, LLC",1537521
SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY,1534873
PANDA TEMPLE POWER II LLC,1532277
TEMPLE GENERATION I LLC,1532277
SUMMIT MATERIALS INC,1521750
GRAPHIC PACKAGING HOLDING CO,1518256
J-POWER USA DEVELOPMENT CO LTD,1510025
ONWARD ENERGY LLC,1504626
GIP Pilot Acquisition Partners LP,1499592
BKV CORP,1490323
OLIN CORP,1486064
ENDEAVOR ENERGY RESOURCES LP,1467665
SIKESTON BOARD OF MUNICIPAL UTILITIES,1466563
SASOL USA CORP,1462668
ARIZONA ELECTRIC POWER COOPERATIVE INC,1458175
HESS CORP,1458122
AVANGRID INC,1447704
ADVANSIX INC,1447651
ABATIS HILL TOP HOLDING LLC,1441168
DOMTAR CORP,1438125
DYNO NOBEL,1434652
ECOELECTRICA LP,1431256
KARNAVATI HOLDINGS INC,1429568
VOTORANTIM CIMENTOS NORTH AMERICA INC,1425742
GIANT CEMENT HOLDING INC,1421610
EAST TEXAS ELECTRIC COOPERATIVE INC,1411686
JERA POWER LINDEN LLC,1406043
EQUITRANS MIDSTREAM CORP,1401073
OSAKA GAS ENERGY AMERICA CORP,1398186
ARLINGTON VALLEY LLC,1386239
HATFIELD METALLURGICAL INTERMEDIATE HOLDINGS LLC,1383464
WESTERN FARMERS ELECTRIC COOPERATIVE,1375173
RHODE ISLAND STATE ENERGY CENTER LP,1361848
COTERRA ENERGY INC,1359407
ALPHA METALLURGICAL RESOURCES INC,1351315
IOWA FERTLIZER CO LLC,1350065
HOLLYFRONTIER CORP,1321638
M6 Midstream LLC,1319249
NEWARK ENERGY CENTER LLC,1306853
GREEN PLAINS INC,1301352
WABASH VALLEY POWER ASSOC,1301178
"J-Power USA Investment Co, Ltd",1299717
CITY OF TALLAHASSEE FLORIDA,1298558
SOLVAY HOLDING INC,1295462
HUNT CRUDE OIL SUPPLY CO LLC,1287363
LINDE GAS NORTH AMERICA LLC,1286746
CORONADO GROUP LLC,1280556
AMERICAN MUNICIPAL POWER INC,1277562
INTEGRYS ENERGY GROUP INC,1270810
CPPIB Vedder US Holdings LLC,1254044
ASH GROVE CEMENT CO,1252026
"Gulf Energy USA, LLC",1248748
FLYWHEEL ENERGY LLC,1243869
Lotus Infrastructure Partners,1242267
JERA ENERGY AMERICA LLC,1242267
Rayburn Energy Station LLC,1242048
OHIO POWER PARTNERS LLC,1231069
BAYPORT POLYMERS LLC,1229146
RED OAK POWER LLC,1228375
NATIONAL FUEL GAS CO,1223101
EMPIRE ACQUISITION LLC,1219364
WALLEYE POWER LLC,1219133
LIMA REFINING CO,1205035
BERRY CORP (BRY),1181758
MITSUBISHI CEMENT CORP,1178982
FORESIGHT ENERGY LP,1174401
WARRIOR MET COAL INC,1163559
COUNTY OF ORANGE CALIFORNIA,1162216
ENBRIDGE (US) INC,1161070
HOMER CITY GENERATION LP,1154482
BASTROP ENERGY PARTNERS LP,1153440
MEWBOURNE HOLDINGS INC,1142156
BARRICK GOLD OF NORTH AMERICA INC,1133392
SCHUYLKILL ENERGY RESOURCES INC,1133245
HOLCIM PARTICIPATIONS (US) INC - RAVENA PLANT,1120895
SOUTHERN MINNESOTA MUNICIPAL POWER AGENCY,1118923
MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION,1118200
CK TECHNOLOGIES INC,1116000
